n_processo;id_cliente;favor_contribuinte;ementa
2015/0250346-5;3;0;TRIBUTÁRIO. AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL. PARCELAMENTO. ART. 5º, II, DA LEI N. 9.964/00. EXCLUSÃO DO REFIS POR INEFICÁCIA DOS PAGAMENTOS COMO FORMA DE QUITAÇÃO DO DÉBITO. VALOR IRRISÓRIO DA PARCELA. POSSIBILIDADE. PRECEDENTES. 1. É possível a exclusão do Programa de Recuperação Fiscal - REFIS, com fulcro no art. 5º, II, da Lei n. 9.964/2000 (inadimplência), se ficar demonstrada a ineficácia do parcelamento como forma de quitação do débito, considerando-se o valor do débito e o valor das prestações efetivamente pagas. Situação em que a impossibilidade de adimplência há que ser equiparada à inadimplência para efeitos de exclusão do dito programa de parcelamento. Precedentes. 2. Agravo regimental a que se nega provimento.
2017/0159112-6;1;0;"PROCESSUAL CIVIL. EXECUÇÃO FISCAL. AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL. ENUNCIADO ADMINISTRATIVO Nº 03/STJ. IMPUTAÇÃO DO PAGAMENTO DAS DESPESAS COM PERÍCIA. COMPROVAÇÃO DO DIREITO CONSTITUTIVO DO AUTOR. PRECEDENTES. AGRAVO INTERNO NÃO PROVIDO.
1. De acordo com os arts. 19 e 33 do CPC/1973, cabe à parte que requereu a prova pericial o ônus de adiantar os honorários periciais.
2. Agravo interno não provido.
(AgInt no AREsp 1128343/SP, Rel. Ministro MAURO CAMPBELL MARQUES, SEGUNDA TURMA, julgado em 08/10/2019, DJe 15/10/2019)"
2013/0054765-9;3;0;"AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL. TRIBUTÁRIO. ISS. A PRESTAÇÃO DE SERVIÇOS DE REGISTROS PÚBLICOS (CARTORÁRIO E NOTARIAL) NÃO SE ENQUADRA NO REGIME ESPECIAL PREVISTO NO ART. 9o., § 1o. DO DECRETO-LEI 406/68, POIS, ALÉM DA FINALIDADE LUCRATIVA, NÃO HÁ A PRESTAÇÃO DE SERVIÇO SOB A FORMA DE TRABALHO PESSOAL DO PRÓPRIO CONTRIBUINTE, UMA VEZ PERMITIDA A FORMAÇÃO DE ESTRUTURA ECONOMICAMENTE ORGANIZADA PARA SEU FUNCIONAMENTO, APROXIMANDO-SE DO CONCEITO DE EMPRESA, À VISTA DO ART. 236 DA CF E DA LEGISLAÇÃO INFRACONSTITUCIONAL APLICÁVEL. RESP. 1.328.384/RS, REL. MIN. MAURO CAMPBELL MARQUES, DJE 29.05.2013, REPRESENTATIVO DA CONTROVÉRSIA.
RESSALVA DO PONTO DE VISTA DO RELATOR. AGRAVO REGIMENTAL DESPROVIDO.
1. Quanto ao serviço cartorário e notarial, não se justifica a definição da base de cálculo do ISS a partir da receita bruta auferida com a cobrança dos emolumentos, porque o serviço prestado pelo Titular do Cartório, dado o seu traço personalístico, muito mais se aproxima daqueles exercidos por profissionais liberais autônomos, do que daqueles exercidos pelos empresários privados, ajustando-se ao § 1o. do art. 9o. do DEL 406/68, recepcionado pela Constituição Federal (RE 262.598/PR, Rel. Min. CARMEN LÚCIA, DJe 27.09.2007), e não revogado pela LC 116/03.
2. Ofende, ainda, o princípio da isonomia tributária, pretender tributar os Notários e Registradores, cuja natureza do trabalho desenvolvido é indiscutivelmente pessoal, da forma como são tributadas as sociedades que desenvolvem típica atividade empresarial; é um grande equívoco assimilar atividades públicas (prestadas diretamente pelo Estado ou sob regime de delegação) àquelas exercidas em regime de mercado (atividades empresariais), porque estas se guiam por propósitos, dinâmicas e objetivos que não se conciliam com os que regem aquel'outras.
3. Todavia, a compreensão acima deduzida não foi adotada pela maioria dos integrantes da 1a. Seção desta Corte, que concluiu por reafirmar o entendimento jurisprudencial segundo o qual a prestação de serviços de registros públicos (cartorário e notarial) não se enquadra no regime especial previsto no art. 9o., § 1o. do Decreto-Lei 406/68, pois, além de manifesta a finalidade lucrativa, não há a prestação de serviço sob a forma de trabalho pessoal do próprio contribuinte, especialmente porque o art. 236 da CF/88 e a legislação que o regulamenta permitem a formação de uma estrutura economicamente organizada para a prestação do serviço de registro público, assemelhando-se ao próprio conceito de empresa: REsp.
1.328.384/RS, Rel. Min. MAURO CAMPBELL MARQUES, DJe 29.05.2013, representativo da controvérsia.
4. Agravo Regimental desprovido.
(AgRg no AREsp 305.039/SP, Rel. Ministro NAPOLEÃO NUNES MAIA FILHO, PRIMEIRA TURMA, julgado em 22/10/2013, DJe 11/11/2013)"
2014/0029463-1;4;2;PROCESSUAL CIVIL. AGRAVO REGIMENTAL NO AGRAVO. RECURSO ESPECIAL. SUPOSTA OFENSA AO ART. 535 DO CPC. INEXISTÊNCIA DE VÍCIO NO ACÓRDÃO RECORRIDO. TRIBUTÁRIO. TAXA DE COOPERAÇÃO E DEFESA DA ORIZICULTURA. LEGITIMIDADE ATIVA. QUESTÃO ATRELADA À ANÁLISE DE LEI LOCAL. SÚMULA 280/STF. 1. Não havendo no acórdão recorrido omissão, obscuridade ou contradição, não fica caracterizada ofensa ao art. 535 do CPC. 2. Por ofensa a direito local não cabe recurso especial (Súmula 280/STF, por analogia). 3. Agravo regimental não provido.
2019/0148645-9;4;0;"PROCESSUAL CIVIL. RECURSO ESPECIAL. UTILIZAÇÃO DA CENTRAL NACIONAL DE INDISPONIBILIDADE DE BENS - CNIB. DESNECESSIDADE DE ESGOTAMENTO DAS DILIGÊNCIAS. INSCRIÇÃO DO DEVEDOR EM CADASTROS RESTRITIVOS DE CRÉDITO. POSSIBILIDADE. RECURSO ESPECIAL PROVIDO.
1. Esta Corte, em precedentes submetidos ao rito do art. 543-C do CPC/1973, firmou entendimento segundo o qual é desnecessário o esgotamento das diligências para que ocorra a indisponibilidade dos bens do devedor, em execução civil ou execução fiscal, após o advento da Lei n. 11.382/2006, com vigência a partir de 21/1/2007.
2. O Tribunal a quo, ao concluir pelo esgotamento de diligências para a utilização do Central Nacional de Indisponibilidade de Bens - CNIB, decidiu em confronto com a jurisprudência desta Corte. 3. ""O pedido de inclusão do nome do executado em cadastros de inadimplentes, tal como o SerasaJUD, nos termos do art. 782, § 3º, do CPC/2015, não pode ser recusado pelo Poder Judiciário sob o argumento de que tal medida é inviável em via de execução fiscal."" (REsp 1.799.572/SC, Rel. Min. Francisco Falcão, Segunda Turma, DJe 14/5/2019).
4. Recurso especial a que se dá provimento.
(REsp 1816302/RS, Rel. Ministro OG FERNANDES, SEGUNDA TURMA, julgado em 13/08/2019, DJe 16/08/2019)"
 ;1;0;"TRIBUTÁRIO.     INCIDÊNCIA     DE    CONTRIBUIÇÃO    PREVIDENCIÁRIA.
JURISPRUDÊNCIA    PACÍFICA   SOBRE   AS   MATÉRIAS:   ADICIONAL   DE
INSALUBRIDADE  E  O  ADICIONAL  DE  TRANSFERÊNCIA;  DÉCIMO  TERCEIRO
SALÁRIO  PROPORCIONAL  AO  AVISO PRÉVIO; CONTRIBUIÇÃO PREVIDENCIÁRIA
PATRONAL  SOBRE  O  ADICIONAL DE HORAS EXTRAS, ADICIONAL NOTURNO E O
ADICIONAL  DE PERICULOSIDADE. ATESTADOS MÉDICOS EM GERAL. INCIDÊNCIA
DO ENUNCIADO N. 83 DA SÚMULA DO STJ.
I  -  A jurisprudência do Superior Tribunal de Justiça é uníssona no
sentido de que é devida a contribuição previdenciária sobre o décimo
terceiro  salário  proporcional  ao  aviso  prévio,  em  virtude  da
natureza  remuneratória  da  parcela  ora  em  apreço: AgInt no REsp
1.420.490/RS, Rel. Ministro Gurgel de Faria, Primeira Turma, julgado
em  11/10/2016,  DJe  16/11/2016;  AgInt  no REsp 1.584.831/CE, Rel.
Ministro  Humberto Martins, Segunda Turma, julgado em 14/6/2016, DJe
21/6/2016.
II  -  O  Superior  Tribunal  de Justiça tem jurisprudência firme no
sentido de que a contribuição previdenciária patronal incide sobre o
adicional de insalubridade e o adicional de transferência. (AgInt no
REsp  1.599.263/SC,  Rel.  Ministro  Og  Fernandes,  Segunda  Turma,
julgado  em  4/10/2016,  DJe  de 11/10/2016; (AgInt no AgRg no AREsp
778.581/AC,   Rel.  Ministro  Benedito  Gonçalves,  Primeira  Turma,
julgado  em 15/9/2016, DJe de 26/9/2016; AgInt no REsp 1.596.197/PR,
Rel.  Ministra  Regina  Helena  Costa,  Primeira  Turma,  julgado em
22/9/2016, DJe de 7/10/2016.
III  -  Esta  Corte  Superior  tem  jurisprudência  firmada quanto à
incidência da contribuição previdenciária patronal sobre o adicional
de   horas   extras,   o   adicional   noturno   e  o  adicional  de
periculosidade:   AgInt  no  REsp  1.595.273/SC,  Rel.  Ministro  Og
Fernandes,  Segunda  Turma, julgado em 6/10/2016, DJe de 14/10/2016;
AgInt  no  REsp 1.594.929/SC, Rel. Ministro Herman Benjamin, Segunda
Turma,  julgado  em  6/10/2016,  DJe  de  17/10/2016;  AgRg  no REsp
1.514.976/PR, Rel. Ministro Gurgel de Faria, Primeira Turma, julgado
em 21/6/2016, DJe de 5/8/2016.
IV  - A orientação firmada por esta Corte Superior sobre o tema é no
sentido  de  que  ""incide  a  contribuição  previdenciária sobre 'os
atestados   médicos   em  geral',  porquanto  a  não  incidência  de
contribuição previdenciária em relação à importância paga nos quinze
dias  que  antecedem  o auxílio-doença não pode ser ampliada para os
casos em há afastamento esporádico, em razão de falta abonada"" (AgRg
no  REsp  1.476.207/RS, Rel. Ministro Sérgio Kukina, Primeira Turma,
DJe 21/8/2015).
V - Agravo interno improvido."
2017/0007033-0;1;2;"PROCESSUAL CIVIL E TRIBUTÁRIO. EMISSÃO DE NOTA FISCAL ELETRÔNICA OBSTADA PARA CONTRIBUINTES INADIMPLENTES. INSTRUÇÃO NORMATIVA SF/SUREM 19/2011. ACÓRDÃO ASSENTADO EM FUNDAMENTO EMINENTEMENTE CONSTITUCIONAL.
1. Verifica-se que a questão debatida nos autos foi resolvida pelo Tribunal de origem à luz de fundamentos eminentemente constitucionais (arts. 5º, XIII, e 170, caput, da CF), escapando sua revisão à competência do STJ em Recurso Especial.
2. Recurso Especial não provido.
(REsp 1650336/SP, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, julgado em 18/05/2017, DJe 19/06/2017)"
2016/0164468-2;2;0;"RECURSO FUNDADO NO NOVO CPC/2015. PROCESSUAL CIVIL E TRIBUTÁRIO. AGRAVO INTERNO. VIOLAÇÃO AO ART. 535 DO CPC. ALEGAÇÃO GENÉRICA. SÚMULA 284/STF. MATÉRIA QUE, APESAR DA OPOSIÇÃO DE EMBARGOS DECLARATÓRIOS, NÃO FOI ANALISADA PELA CORTE DE ORIGEM. AUSÊNCIA DE PREQUESTIONAMENTO. INTERPRETAÇÃO DE DIREITO LOCAL. IMPOSSIBILIDADE. SÚMULA 280/STF. 1. É deficiente a fundamentação do recurso especial em que a alegação de ofensa ao art. 535 do CPC se faz de forma genérica, sem a demonstração exata dos pontos pelos quais o acórdão se fez omisso, contraditório ou obscuro. Aplica-se, na hipótese, o óbice da Súmula 284/STF. 2. No caso, o Tribunal de origem não se pronunciou sobre a matéria versada nos arts. 2º, § 1º, do Decreto-Lei 4.657/42; 9º, I, e 180, § 1º, do CTN; 5º e 6º, § 2º, da LINDB, apesar de instado a fazê-lo por meio dos competentes embargos de declaração. Nesse contexto, pois, incide o óbice da Súmula 211/STJ (""Inadmissível recurso especial quanto à questão que, a despeito da oposição de embargos declaratórios, não foi apreciada pelo tribunal a quo""). 3. A fundamentação deficiente do especial não permite, por consequência e per saltum, ingressar no exame da alegada afronta à matéria normativa de fundo, porquanto remanesce ausente o indispensável prequestionamento. 4. Por fim, o exame da controvérsia, tal como enfrentada pelas instâncias ordinárias, exigiria a análise de dispositivos de legislação local (Leis Complementares Estaduais 954/2003 e 1012/2007), pretensão insuscetível de ser apreciada em recurso especial, conforme a Súmula 280/STF (""Por ofensa a direito local não cabe recurso extraordinário.""). 5. Agravo interno a que se nega provimento."
2010/0217561-1;5;0;"PROCESSUAL CIVIL. AGRAVO REGIMENTAL NO RECURSO ESPECIAL.
ARGUMENTOS INSUFICIENTES PARA DESCONSTITUIR A DECISÃO ATACADA. SÚMULA 7/STJ.
INCIDÊNCIA.
I - In casu, rever o entendimento do tribunal de origem, no sentido de estar configurada a responsabilidade solidária por dívida fiscal entre empresas do mesmo grupo econômico, demandaria necessário revolvimento de matéria fática, o que é inviável em sede de recurso especial, à luz do óbice contido na Súmula n. 7/STJ.
II - A Agravante não apresenta, no regimental, argumentos suficientes para desconstituir a decisão agravada.
III - Agravo Regimental improvido.
(AgRg no REsp 1224751/RS, Rel. Ministra REGINA HELENA COSTA, PRIMEIRA TURMA, julgado em 19/03/2015, DJe 27/03/2015)"
2019/0221959-3;5;2;PROCESSUAL CIVIL E TRIBUTÁRIO. AGRAVO INTERNO NO AGRAVO EM RECURSO ESPECIAL. SUSPENSÃO DO PROCESSO ATÉ O JULGAMENTO DE EMBARGOS DE DECLARAÇÃO PELA SUPREMA CORTE. INVIABILIDADE. NEGATIVA DE PRESTAÇÃO JURISDICIONAL NA ORIGEM. NÃO OCORRÊNCIA. INCLUSÃO DO ICMS NA BASE DE CÁLCULO DO PIS E DA COFINS. PARCELA DO IMPOSTO A SER EXCLUÍDA. MATÉRIA CONSTITUCIONAL. 1. Na esteira da jurisprudência da própria Suprema Corte, as instâncias ordinárias devem implementar de imediato as teses firmadas em repercussão geral, independentemente da pendência de julgamento de declaratórios. Especialmente em situações como a do presente feito, em que não houve determinação pelo STF de suspensão da marcha processual. 2. O Colegiado regional prestou, de forma fundamentada, a jurisdição que lhe foi postulada. Sendo assim, não há falar em omissão. O fato de o Tribunal a quo haver decidido a lide de forma contrária à defendida pela parte recorrente, elegendo fundamentos diversos daqueles por ela propostos, não configura nenhum dos vícios de embargabilidade descritos na norma legal. 3. A controvérsia, a envolver a exclusão do ICMS da base de cálculo do PIS e da Cofins, foi travada na origem com enfoque eminentemente constitucional, sobretudo porque calcada na aplicação e interpretação do alcance do julgamento do Tema 69 da Repercussão Geral. Inviável, ainda, em recurso especial, balizar o decidido pela Corte Suprema, como pretendido pela agravante. Precedentes. 4. Agravo interno a que se nega provimento.
2013/0342954-8;1;2;"PROCESSUAL CIVIL E TRIBUTÁRIO. VIOLAÇÃO AO ART. 535 DO CPC. OMISSÃO. INOCORRÊNCIA. INDENIZAÇÃO DECORRENTE DA INSTITUIÇÃO DE SERVIDÃO ADMINISTRATIVA. NÃO INCIDÊNCIA DO IMPOSTO DE RENDA. REEXAME DE PROVA. INVIABILIDADE. SÚMULA 7 DO STJ. 1. Não ocorre ofensa ao art. 535, II, do Código de Processo Civil se o tribunal de origem decide, fundamentadamente, as questões essenciais ao julgamento da lide, apenas não adotando a tese invocada pela recorrente. 2. Diante de oposição frontal entre o que se afirma no recurso especial e o que se consignou no acórdão recorrido a respeito da causa dos pagamentos recebidos pelo recorrido, questão probatória essencial para o deslinde da controvérsia, revela-se inviável o apelo nobre, a teor da orientação fixada na Súmula 7 do Superior Tribunal de Justiça: ""A pretensão de simples reexame de prova não enseja recurso especial"". 3. Recurso especial não conhecido."
2015/0311008-8;3;0;"PROCESSUAL E TRIBUTÁRIO. AGRAVO INTERNO. CONTRIBUIÇÃO PREVIDENCIÁRIA. SALÁRIO MATERNIDADE/PATERNIDADE, FÉRIAS GOZADAS, HORAS EXTRAS, ADICIONAIS NOTURNO, DE INSALUBRIDADE E PERICULOSIDADE. INCIDÊNCIA. SÚMULA 83 DO STJ. MULTA. CABIMENTO. 1. No julgamento de recurso especial representativo da controvérsia (art. 543-C do CPC/73), a Primeira Seção desta Corte Superior firmou o entendimento de que a contribuição previdenciária incide sobre os adicionais noturno de periculosidade e sobre as horas extras (REsp 1.358.281/SP) e o salário-maternidade/paternidade (REsp 1.230.957/RS). 2. A Primeira Seção do STJ sedimentou a orientação de que a contribuição previdenciária incide sobre as férias usufruídas (EDcl nos EDcl no REsp 1.322.945/DF) e sobre o adicional de insalubridade (AgRg no REsp 1.487.689/SC; AgRg no REsp 1.559.166/RS). 3. À vista do entendimento consolidado nesta Corte, aplica-se a Súmula 83 do STJ. 4. O recurso manifestamente improcedente atrai a multa prevista no art. 1.021, § 4º, do CPC/2015, na razão de 1% a 5% do valor atualizado da causa. 5. Agravo interno desprovido, com aplicação de multa."
2012/0003557-2;4;2;"PROCESSUAL CIVIL E EXECUÇÃO FISCAL. OFENSA AO ART. 535 DO CPC NÃO CONFIGURADA. COMPENSAÇÃO. EMBARGOS À EXECUÇÃO. RESTITUIÇÃO. DECLARAÇÃO ANUAL. VALORES RETIDOS INDEVIDAMENTE. SÚMULA 394/STJ. REVOLVIMENTO. DOCUMENTOS. AUTOS. SÚMULA 07/STJ. 1. A solução integral da controvérsia, com fundamento suficiente, não caracteriza ofensa ao art. 535 do CPC. Os Embargos Declaratórios não constituem instrumento adequado para a rediscussão da matéria de mérito. 2. A repetição do indébito que desconsidera a restituição de imposto de renda, não abatida do quantum exequendo, gera excesso de execução, sendo possível alegar eventual compensação dos valores retidos indevidamente com aqueles restituídos e apurados na declaração anual, por meio de Embargos à Execução. Inteligência da Súmula 394/STJ: ""É admissível, em embargos à execução, compensar os valores de imposto de renda retidos indevidamente na fonte com os valores restituídos apurados na declaração anual"". Precedente: Recurso Especial representativo de controvérsia 1.001.655/DF. 3. No caso em apreço, o Tribunal de origem expressamente consignou: ""Nesse contexto, se a única prova que junta a Fazenda são meras planilhas de simulação de valores expedidas pela Receita Federal (fls. 21/56), nas quais aponta apenas o extrato das declarações de renda apresentadas pelos exequentes no período em discussão, sem indicar dados suficientes para apurar-se a dedução questionada, não vislumbro viabilidade no pedido de compensação ora formulado. Esses documentos, por si sós, data venia, não comprovam tenham sido restituídas parcelas do IRRF cuja repetição foi determinada no título executivo judicial"" (fl. 335, e-STJ). 4. A alteração de tal entendimento demanda revolver as provas documentais apresentadas nos Embargos à Execução, o que torna inadmissível o Recurso Especial, nos termos da Súmula 07/STJ: ""A pretensão de simples reexame de prova não enseja recurso especial"". 5. Agravo Regimental não provido."
2016/0021490-8;3;0;"RECURSO ORDINÁRIO EM HABEAS CORPUS. ESTELIONATO. CRIME CONTRA AS RELAÇÕES DE CONSUMO. LAVAGEM DE DINHEIRO. SONEGAÇÃO FISCAL.
ASSOCIAÇÃO CRIMINOSA. RECURSO ORDINÁRIO INTEMPESTIVO.
IMPOSSIBILIDADE DE CONHECIMENTO COMO HABEAS CORPUS SUBSTITUTIVO DE RECURSO ORDINÁRIO. ACÓRDÃO IMPUGNADO QUE SE REFERE A SOMENTE UM DOS RECORRENTES. NULIDADE PROCESSUAL. SUPRESSÃO DE INSTÂNCIA. ALEGADA AUSÊNCIA DE FUNDAMENTAÇÃO DO DECRETO PRISIONAL. MERA REITERAÇÃO DE PEDIDO. ALEGADO EXCESSO DE PRAZO PARA O FIM DA INSTRUÇÃO PROCESSUAL.
INOCORRÊNCIA. COMPLEXIDADE DO FEITO. RECURSO NÃO CONHECIDO.
I - Consoante o disposto no art. 30 da Lei 8.038/1990, é intempestivo o recurso ordinário interposto fora do prazo de 5 (cinco) dias.
II - Por outro lado, não é possível conhecer de recurso ordinário como habeas corpus (substitutivo do recurso próprio), conforme jurisprudência pacífica desta Corte e do eg. STF. Contudo, no caso de se verificar configurada flagrante ilegalidade apta a gerar constrangimento ilegal, recomenda a jurisprudência a concessão da ordem de ofício.
III - Na hipótese, o v. acórdão impugnado refere-se a apenas um dos recorrentes, o que impede conhecer das teses defensivas em relação a ele, sob pena de supressão de instância.
IV - Impossibilidade de análise da alegada nulidade processual, por cerceamento de defesa e ilicitude de prova, uma vez que tal matéria sequer foi examinada pelo eg. Tribunal a quo, pois configuraria indevida supressão de instância.
V - A pretendida revogação da prisão cautelar, por ausência de fundamentação idônea, constitui mera reiteração de pedido, já apreciado por ocasião do julgamento do HC 330.288/PR (Quinta Turma, de minha relatoria, DJe de 20/11/2015).
VI - O prazo para a conclusão da instrução criminal não tem as características de fatalidade e de improrrogabilidade, fazendo-se imprescindível raciocinar com o juízo de razoabilidade para definir o excesso de prazo, não se ponderando a mera soma aritmética dos prazos para os atos processuais (precedentes do STF e do STJ).
VII - In casu, eventual delonga para conclusão do feito justifica-se em virtude das peculiaridades e complexidades do caso concreto, levando-se em consideração a pluralidade de réus (oito) e de vítimas, tratando-se do cometimento, em tese, de diversos delitos, relacionados à venda irregular de terrenos em condomínio, cuja ação penal teve origem após a instauração de 3 (três) inquéritos policiais.
Recurso ordinário não conhecido.
(RHC 67.463/PR, Rel. Ministro FELIX FISCHER, QUINTA TURMA, julgado em 28/06/2016, DJe 01/08/2016)"
2013/0268151-8;5;2;"PROCESSUAL CIVIL. AGRAVO REGIMENTAL NO RECURSO ESPECIAL. EXECUÇÃO FISCAL. PENHORA DE VALORES DE CRÉDITOS FUTUROS, RESULTANTES DE VENDAS EFETUADAS POR CARTÃO DE CRÉDITO E DÉBITO. FATURAMENTO DA EMPRESA. MEDIDA EXCEPCIONAL. SÚMULA 83/STJ. MATÉRIA FÁTICO-PROBATÓRIA. SÚMULA 7/STJ. PRECEDENTES. QUESTÕES TRATADAS APENAS NO VOTO VENCIDO. PREQUESTIONAMENTO NÃO CONFIGURADO. SÚMULA 320/STJ. AGRAVO REGIMENTAL IMPROVIDO.
I. Consoante a orientação firmada no STJ, não se conhece de Recurso Especial em que a Fazenda Pública recorrente pretende a penhora de créditos da parte executada, junto às administradoras de cartões de crédito, quando, com base no conjunto fático-probatório dos autos, o Tribunal de origem deixa consignado, no voto condutor do acórdão recorrido, que a medida requerida pela Fazenda Pública é excepcional e reclama a demonstração efetiva de que foram esgotados todos os meios disponíveis para a localização de outros bens penhoráveis, porquanto, concluir em sentido contrário, para verificar se houve o esgotamento dos meios disponíveis para a localização de bens penhoráveis, ou avaliar se a penhora, na forma como requerida, inviabilizaria as atividades da empresa, demanda o reexame de matéria de fato e de prova, inviável, em sede de Recurso Especial, nos termos da Súmula 7 do STJ. Nesse sentido são os seguintes julgados do STJ, em recursos interpostos, também, pelo Município de Belo Horizonte, em casos semelhantes: AgRg no AREsp 450.575/MG, Rel.
Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe de 18/06/2014; AgRg no AREsp 443.217/MG, Rel. Ministro HERMAN BENJAMIN, SEGUNDA TURMA, DJe de 15/04/2014.
II. No caso, a controvérsia foi decidida, nas instâncias ordinárias, com base no conjunto fático-probatório dos autos e em consonância, ainda, com a orientação jurisprudencial do Superior Tribunal de Justiça, no sentido de que a penhora das vendas efetuadas por meio de cartão de crédito e de débito implica, na realidade, em verdadeira penhora sobre o faturamento da empresa, que deve obedecer maior rigor, devendo ser determinada apenas se frustradas todas as tentativas de localização de bens, pela exequente, mostrando-se indevida tal medida constritiva excepcional, se ausentes os requisitos legais a embasá-la. Com efeito, o Tribunal de origem, soberano no exame de matéria fática, deixou consignado, no voto condutor do acórdão recorrido, que ""a penhora do faturamento da empresa, na qual se assemelha o pedido de bloqueio de pagamento via cartões de crédito, é hipótese excepcionalíssima e só pode ser deferida em situações especiais, que não a dos autos, onde não há comprovação de ter a exequente diligenciado quanto à existência de bens, pretendido tão somente que o Judiciário supra o que lhe cabia diligenciar"". Dadas as circunstâncias da causa, retratadas no voto condutor do acórdão recorrido, mostra-se inadmissível o Recurso Especial, por incidência, na espécie, das Súmulas 7 e 83 do STJ.
III. Quanto à alegação, feita pelo Município de Belo Horizonte, no sentido de que, no acórdão proferido pelo Tribunal de origem, ficou consignado, no voto vencido, que foram empreendidas diligências no sentido de busca de bens em nome do devedor, antes de se requerer a pesquisa e o bloqueio de crédito junto a empresas de cartão de crédito, impende salientar que, nos termos da Súmula 320 do STJ, ""a questão federal somente ventilada no voto vencido não atende ao requisito do prequestionamento"".
IV. Agravo Regimental improvido.
(AgRg no AREsp 385.525/MG, Rel. Ministra ASSUSETE MAGALHÃES, SEGUNDA TURMA, julgado em 19/03/2015, DJe 26/03/2015)"
2014/0280670-7;3;0;TRIBUTÁRIO. PROCESSUAL CIVIL. AGRAVO REGIMENTAL NO AGRAVO EM RECURSO ESPECIAL. IMPOSTO DE RENDA. MANDADO DE SEGURANÇA COLETIVO. PRESCRIÇÃO. TRÂNSITO EM JULGADO DA SENTENÇA. SÚMULA 150/STF. PRECEDENTES. 1. A jurisprudência desta Corte Superior tem entendimento firme no sentido de que é de cinco anos o prazo prescricional para a propositura da ação executiva contra a Fazenda Pública, contados a partir do trânsito em julgado da sentença exequenda, nos termos da Súmula 150/STF. Precedentes: AgRg no AREsp 100.524/SP, Rel. Ministro Napoleão Nunes Maia Filho, Primeira Turma, DJe 02/06/2014 e AgRg no AREsp 83.629/DF, Rel. Ministro Humberto Martins, Segunda Turma, DJe 03/04/2012. 2. Agravo regimental não provido.
2019/0315504-5;3;0;PROCESSUAL CIVIL E TRIBUTÁRIO. EMBARGOS À EXECUÇÃO CONTRA A FAZENDA PÚBLICA. IMPUGNAÇÃO GENÉRICA DOS CÁLCULOS. ART. 739-A, § 5º DO CPC/1973. APLICABILIDADE. 1. A orientação jurisprudencial do Superior Tribunal de Justiça é no sentido de que é inteiramente aplicável à Fazenda Pública a regra do art. 739-A, § 5º, do CPC/1973, que atribui ao executado, nos Embargos do Devedor fundados em excesso de execução, o dever de indicar o valor correto da dívida, inclusive com a apresentação da memória de cálculos. 2. Dessume-se que o acórdão recorrido destoa do atual entendimento do STJ, razão pela qual merece prosperar a irresignação. 3. Recurso Especial provido.
2016/0148671-3;3;0;PROCESSUAL CIVIL. AGRAVO INTERNO NO AGRAVO. ENUNCIADO ADMINISTRATIVO N. 2/STJ. EXECUÇÃO FISCAL. PENHORA. BOMBA DE COMBUSTÍVEL. BEM DE DIFÍCIL ALIENAÇÃO. RECUSA DA EXEQUENTE. POSSIBILIDADE. AFERIÇÃO DE OFENSA AO PRINCÍPIO DA MENOR ONEROSIDADE NA HIPÓTESE. ART. 620 DO CPC. REVOLVIMENTO DE MATÉRIA FÁTICO-PROBATÓRIO. INCIDÊNCIA DA SÚMULA N. 7/STJ. 1. A orientação da Primeira Seção/STJ firmou-se no sentido de que a penhora (ou eventual substituição de bens penhorados) deve ser efetuada conforme a ordem legal, prevista no art. 655 do CPC/73 e no art. 11 da Lei 6.830/80. Assim, ainda que haja outros bens penhoráveis, a Fazenda Pública pode recusar a nomeação quando fundada na inobservância da ordem legal, sem que isso implique ofensa ao art. 620 do CPC/73. 2. O reexame de matéria de prova é inviável em sede de recurso especial (Súmula 7/STJ). 3. Agravo interno não provido.
